Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2000-01-24,0,Lee puts the skids on Pakistan,Jim Swanton dies at 92,Wilson proposes a loyal toast,Wigan held by peers,Weah warms to hot spot,Town rise to pitch battle,Taylor rages at the Watford gap,Robson turning white by mistake,Owen's medical mystery deepens,Leicester call for Collymore,Jones rallies to the spirit of Shankly,John adds to agony,Hunt hat-trick does not please Curbishley,Derby miss the points of daring,Brown eclipses old blue moon,Bassett pulls the Tykes together,Agile Gould spares ring-rusty Celtic's blushes,European scores and tables,Big Top is full of holes as circus returns to town,Third Division round-up,Second Division round-up,First Division round-up,Zidane shines as Juve win again,In a world of his own,Laurel and Hardy comedy classics
2000-01-25,0,Dazzler is back and England are beaming,Rivaldo shoo-in  Brazilian is world player of year,Stealthy Spurs swoop for teenager,Fans talk when the Premier goes to the people,Gregory is keen to bag Heskey,Double vision for Euro 2000,Dalglish given official warning,Harry Potter and the Prisoner of Azkaban by JK Rowling,Berlioz: Servitude and Greatness by David Cairns,White City Blue by Tim Lott,Music and Silence by Rose Tremain,Beowulf by Seamus Heaney,Useful links,A morass of Welsh emotion,Lib Dems face row after tuition fees climbdown,Lib Dems face row after tuition fees climbdown,Away with our heavy burden,Class acts,My inspiration,Lunchtime learning,New UK brand is launched,Letters,Health and safety at work,Seeing is believing,Three's company
2000-01-26,1,Best go for Georgie and sack Good Time Charlton,Wright facing lengthy ban for outburst,Dream script for Kenwright,Bradford shun �3m Collymore,Villa stall on Leicester grit,Ganguly gives India a lift,Town planning: Harbouring doubts,Caddick at one with the new regime,Atherton calls for end to county game,Labour sets pace for far-reaching change,Student dismay at fees 'sell-out',Blunkett to beat drum for party's achievements,"No poison supply at Auschwitz, says Irving",Opposition fury at Scottish fees deal,Day of reckoning nears as Glenda is accused of 'collaboration',White Teeth by Zadie Smith,Looking for glamour at the Whitbread ceremony,Land of plenty,Vandevelde offers fresh upheaval for M&S board,Watchdog moves to curb racist websites,Hanged men 'victims of racists',"Great Grannies, Greek gripes and Gregory Grant",A virtual life,The kiss of death,"'Dear Dilys, are you really this selfish?'"
2000-01-27,1,Lancashire target Tendulkar the Tyke,Early shock for England,Atherton in dock for county attack,Valiant England come up short by one run,Tranmere make final offer,Liverpool ready to gamble with Ravanelli,Hillsborough eyes new technology,Flying Scots are chuffed,Ferguson targets Brazilian Dida in keeper quest,Crocked players in legal threat,The man from out of Toon,Work in progress,The Russians spent decades getting hold of pictures like these. Now anyone can order them on the net,What is the Millennium Map?,Social trends,State of the union address,Doctors of death,M&S hopes for brighter future by ditching dowdy image,Straw extends race bill,Pathologist's doubts on 'suicide' hanging,"Scurrilous jigsaws, Special cakes and Squashed kittens",Web versus high street,Guardian group gets a new chairman,How much can you pay for . . .,"Buy now, regret later?"
2000-01-28,0,Carlton ratings rise at new midlands station,United shake up the young brigade,Svensson departs as Palace pay their way,Running scared of bad company,Bradford back for Stan,Robson can save his scalp at Old Trafford,Dismal England but that is no surprise,Abject England fold without a whimper,Through the Ulster time warp,Tim Roth and Pinter take on King Lear,National Trust rejects move to end ban on stag hunting,Hatching Dora,"Marketing professor is best-paid academic - on �252,000 a year",The Cubie Report explained,Crisis-hit Mugabe has luck of the draw,Mr Straw sees the light,Town denies racism amid media scrutiny of hangings,Yard race unit aids Telford hangings inquiry,Beowulf bowls out Harry Potter for second award,Joining the dots,Anything goes,Most wanted:  boo.com sale,Most everywhere:  karma beads,Diplomacy for democracy,Diplomacy for democracy
2000-01-31,0,Nationwide Third Division,Nationwide Second Division,Nationwide First Division,Birmingham three face Italian charges,Rangers make light of perilous defence,Computer problem delays Endeavour's launch,Nasa clears Endeavour's engines for launch,Inquiry and helpline for Shipman victims,More murder charges could be brought,Pressure for universal education campaign,I'd like to teach the world,Reaction to the verdict,How the Shipman trial unfolded,Police interview: Winifred Mellor,Police interview: Kathleen Grundy,Shipman found guilty of murdering 15 patients,New party threatens Mugabe,Two views from Harare,"Cretins, Blabbermouths and John Gregory",Shipman was sacked for drug abuse,'A tragic and deeply disturbing case',The role of toxicology,Inside Preston crown court,Denial upon falsehood upon deceit,"Irving not anti-semitic, claims US professor"
2000-02-01,1,Double delight for Shearer,Even Ferguson wants a more peaceful accommodation,Owen in doubt for Euro 2000,New sponsor for Old Trafford,Claridge in trouble over bet on Pompey,World Cup a hit - official,Hussain backs floodlight age,William Hague's new cabinet,'In plain speaking you murdered her',Blunt Blair to tell farmers 'uncomfortable truth',Portillo back as shadow chancellor,Computer problem delays Endeavour launch for a week,Doctor's name joins ranks of world's worst murderers,Marking crisis hits A-levels,'A way of fighting poverty',Ministers back universal schooling drive,Crash course in chaos shocks the minister,Economic crisis = empty desks,Internet promises salvation - or an even bigger knowledge gap,A school triumphs amid the shacks,Fee-free zone,"Where the young learn,all of society benefits",A guide to Valentine's Day shopping on the net,'The lessons of the Shipman case',Government launches inquiry into Shipman murders
2000-02-02,1,Hospital case,English women fall apart in third defeat,Kick flicks are coming soon to a cinema near you,Italy orders anti-fascist snatch squads at Lazio,Specialist consigns Owen to month on the sidelines,Leboeuf banned as Vialli plots comeback,Debts force Airdrie into liquidation,Housing: Where the heart is,Zimbabwe visit under threat,Bates blasts 'meddling' ministers,The farmer's in his den,PM tells farmers to be flexible,Hague's big gamble,Win tickets to the Fifth Element and Dan Weil Q&A,Lions lie in wait for their hobbling hosts,Redwood 'shocked' at sacking,Germany and France condemn Haider,"Deserving a chance, Denying a rumour and Delivering a statement",Lawyer's record payout after race bias at CPS,Race team joins hanging inquiry into Telford deaths,Father of hanged Telford man dismisses race murder claims,Shock exchange,Blair peace plea as talks continue,Haider: son of Nazis who defies labels,Austria defies isolation threats
2000-02-03,0,Scoreboard,Flower power clears path to summit for Zimbabwe,Stricken Swindon send out financial SOS,Hot stuff from the ice fields,Euro-fringe threat to English players,Chairman's wife arrested,Vidmar sets Rangers on a romp,Electric Elliott puts Leicester into final,Sheringham's timely touch,Mandelson takes power to suspend assembly,President agrees to far-right coalition,Blair hits out at countryside critics,Blair's rural ride,We'll have no country bumpkins here,Consultants sent in as three LEAs condemned,Leeds LEA calls in the consultants,Pressure grows for a universal campaign,Reuters poised to float Instinet,Nigeria 2 - 0 Morocco,Nigeria 2 - 0 Morocco,Fed piles on rate pressure,Putting us in the picture,Hanged man's family lodge racism protest,Share tipping,Sam Wood: A Night at the Opera
2000-02-04,1,Vialli will play only in 'emergency',Safety-first Dons to let Sullivan go,Bold Pollock pinches victory,Leicester rage over FA ticket charges,Hussain prays for final judgment,Atherton's view in the minority,Rear Window,A Room for Romeo Brass,The Big Tease,"Football 1, Hollywood 0",Toy Story 2 | Film review,Toy Story 2,England fiasco ends Smithies era,THE BEST PET SCENE,Norman bows to pressure to ends links with Asda,Students owe �3.5m tuition fees,Win tickets to The Talented Mr Ripley premiere and aftershow party,Radical or reactionary?,John Hannah,Digital grocers cater for wealthy,Ebookers spreads European wings,Singh picked to lead CRE,School suspends race abuse victim,Today's other news,The whole world in his hand
2000-02-07,0,Fletcher backs Hick to the hilt,South Africa ensure final place,Third Division round-up,Second Division round-up,First Division round-up,International football latest,Calls mount for Barnes to resign,Wise cracks it for Keegan,Wenger concedes as two Deans teach a painful lesson,Wednesday on suicide watch,Taylor fits into Royle's pattern,Stewart proves his worth at Bassett's expense,Saint Hoddle sees only a green light,Phillips puts Tyneside under spell,Miller issues Rangers with a warning,Merson the fat controller derails Taylor,Hunt fetches and carries a hatful,Nigeria overcome heroic Senegal,Collymore not a gamble says O'Neill,Cole carries the United dream,Bracewell silences Cottage rumour mill,Ashcroft deepens Swindon's despair,Campbell's fling has Dons reeling,Enduring love,Lions lack bite but still book semi spot
2000-02-08,0,Wayward Shoaib told suspension will stay,Maddy drums up yet more enthusiasm,Zola suffers indignity of reserves,Reed in hot water over goal salute,Ferguson faces transfer battle as Monaco hang on to Djetou,Cold war erupts again as Russia claims 'snub',Brown defiant in Welsh deadlock,"Smoking as addictive as heroin, say doctors",Pinochet campaigners win legal battle,Section 28 - what the papers say,Highlights of the Lords debate,Government to change tack on section 28,Not the people's paper,"Contract talks, Initial bids and Inevitable speculation",Nicotine addiction - what the report says,Why hijack?,A warning from Stansted,"'Ladies and gentleman, there's a young man on board who has a gun pointed at my head'",Thousands stranded by cancelled flights,Jailed warlord who inspires loyalty,Calm and calculated approach that aims for peaceful solution,Speaking as a Dalek,Diary of a hypochondriac,Try plan B for birth control,Bad genes
2000-02-09,1,Rangers bid for Rebrov,Newcastle's Glass finally cracks,Away day first for Wales,Gudjohnsen warms Wanderers in Nordic chill,Gray's double rekindles Luton's play-off hopes,Celtic take low road with abject defeat,Wet suits only Duckworth and Lewis,Something new for this England team: a win,Volunteering: Partners or puppets?,Volunteering: Volunteering,Celebrity refs? It's happening already,Labour's man in Wales faces crisis vote,Welsh first secretary resigns,Alun Michael: rise and fall,Confidence tricks,Welsh first secretary resigns,ITV ruling comes closer as Carlton merger referred,EU opens antitrust probe of Microsoft,Royal Bank wins heavyweight support for NatWest bid,Reuters climbs aboard the net,Violence before Zimbabwe vote,Alun in Wonderland,Alun Michael: rise and fall,Leaked memo,"33 years, 38,162 supporters and 72 million pounds"
2000-02-10,0,Gunners and Hammers to draw while Foxes triumph,Clash of African giants reopens old wounds,Giggs friendly could be a first for Hughes,Di Canio on the carpet over Villa gesture,Barnes faces the bullet from Celtic,The team,England at one with the elements,Triple delight for Mohamed Al Fayed,Nigeria 2 - 0 South Africa,Welsh oust Blair's man,"A bombshell, then oblivion for Alun Michael",Magnanimous Morgan defends Blair,Barnes sacked as Dalglish holds the fort,NatWest surrenders today,Oxfam quits campaign in protest,Lobby briefings part of new Downing Street site,Boo's Swedish founder to spend more time with his family,Straw urged to act in race case,New CPS job for race case lawyer,Rise of the silver surfers,"Going, Coming and Staying put",Bad mouthing  Muse excluded from Beckett extravaganza,Torrential African storms kill 50,"Today man's �310,000 for Blair book",Spot the source: Harry Potter explained
2000-02-14,0,Champagne breakfasts and batting collapses that blazed a trail for England cricket tours,Camara snapshot puts Reds in picture,Nationwide First Division,Venezia player 'attacked',Kennedy ensures blue moon follows red sunset,Nationwide Second Division,Nationwide Third Division,Stewart answers Ipswich's prayers,Dons dismay Sturrock,They woke up and it was all a dream,Platt breathes easy after remembering his lines,Odds stackup againstWilson,Dispute clouds Cameroon win,Francis has need of a fitting finisher,Charlton's bandwagon leaves Wolves limping behind,Referees still 'trying to punish Di Canio',FA steps in over tunnel brawl,The Smiths are still miserable now,Strachan fearful of falling cautions,United living on a knife edge,Collymore heads for cracking his own conundrum,Banks thrash out merger details,FA charge four clubs after weekend of misconduct,The best host scene,Public inquiry announced into Marchioness disaster
2000-02-15,1,Call to deduct points from clubs,Referees find no sense and very little reason,Gazza breaks his arm,Wright to Burnley,Ferguson defends players,Lazio face fresh trouble over fans' racist abuse,England explore the world for crucial cup votes,Tertius Bosch dies,South Africa one-day averages,Freeserve joins BT to offer faster web links,Royal Bank staff face fight for their jobs,Ireland's missing links,UK e-uni to be global giant,Minimum wage,IRA pulls out of disarmament talks,The IRA statement,Mugabe heads for defeat in poll,Report lifts lid on years of abuse,"Breezy, Squeezy and Queasy","Trust me, I'm a doctor",The Bowen technique,My trainer's top 10 fitness tips,Bad habits die hard,Dear doctor: Dr Ann Robinson,Higher student fees for Oxbridge
2000-02-16,1,A referee's eye view at Upton Park,England find Hick right at home,Gascoigne charged after Boateng clash,Robinson sees Charlton dolled up to the nines,Rangers hit by Lowndes,O'Connor strikes to strengthen Blues play-off push,Daft as a brush with the arm of the laws,Refuges that turned into purgatory,Miller faces county grind as fourth man,Taylor spoils handiwork,Recalling life in the Colditz of care,Questions and answers that surround a catalogue of abuse against children,Hunt for 24 care workers in child abuse scandal,'Punishment was the only thing I knew','I just hope this will protect future generations in care',"Pinochet brain damaged, says leaked report",Morgan asks for calm and continuity,Secretary in a state,Secretary in a state,Morgan asks for calm and continuity,'His memory of remote events is impaired',Stitching up Ken,Troubled Water may not be filmed in India,Hague disputes Blair's good news,The best real estate scene
2000-02-17,0,Closing ranks behind the thirtysomething toddlers and their tiresome tantrums,Collymore's career in the balance,Yorke flies back for Leeds game after secret deal,Timely swipe at the World Club Championship,Moravcik hands Dalglish final chance,Akinbiyi leads the hungry pack,Sunday best suits Taylor's sharp Gills,League snubs �2bn Sky offer,Blair is worst among equals,Collymore fined for fire extinguisher folly,Collymore speaks,White on black,Cutting off our nose to spite a race,Gorman faces Commons suspension,"Wiles, Walls and Wheels",How much can you pay for...,How green is your baby?,A touch of Mars,Shuttle astronauts watch the petrol,Cybershopping: men's fashion,This is Earth calling...,Livingstone seals landslide wins in four union ballots,Today's other news,Cannabis goes for ecstasy,Oscar-nominated Law feathers nest with movie roles
2000-02-18,0,NatWest trades its Trophy for a menage a trois,Premier clubs fork out �11m to pay off TV double act,"Collymore's antics cost him �30,000",Chelsea search for missing Babayaro,Crackdown 'must not shackle England',"'Excuse me, sugar puff, but aren't you tactically naive?'",Gorman faces Commons ban over property cover-up,Sketch: Tess and the happiness of a middle-aged man,Art mouse,How the secret service conspires for good PR,London museum in crisis,Jude awakening,Yorkshire chief scorns web craze,Interactive hits the market with a bang,Blunt warning from Greenspan on booming demand,"Time to move on, says Macpherson","Stop whining, Lawrence judge tells Met",England scrape basement battle,"IRA suspect killed lawfully, inquest rules",Threat to shut down Sellafield N-plant,"Beyond the Fringe, Private Eye and Not Only... But Also",The best flu scene,Most everywhere:  Burberry checks,Most wanted:  Autograph by M&S,London thrills me
2000-02-22,0,England to get salaries tied to results in elastic bands,Sunderland find new identity as The Black Cats,Heskey up front and very personal,"Excuse us, can we have our footballers back?",Dutch declare war on Euro 2000 black market,Burns becomes a Bhoy again,Beckham goes fromzero to Keegan's hero...,...but the spin may not wash with Ferguson,Basque politician killed by Spanish car bomb,England v Argentina: players to watch,Is ignorance bliss?,Britain 'low on crime but tough on sentencing',The right to secrecy,The right to secrecy  - part two,Iran election: what the papers say on the web,Utilities go for the one-stop shop,"Large Emile, Big deal and Great fat hope",Blow for BBC means Dyke must get tough,Television licence fee to increase by �3,Robo doc,An everyday addiction,What works?,I thought I would never walk again,Dear doctor,Checks in the post
2000-02-23,1,Batistuta and co are given a licence to thrill,England 0 - 0 Argentina,Butler ready to serve the Republic,McIlroy opts for a captain of industry,England to take Cyclopson trial,More slap than tickle for United's frosty frontmen,Firebrand has chance to light up midfield,Beckham also missed Christmas Day training,Giles forced to spend an age as Aquarius,Football legend Stanley Matthews dies at 85,England all blackwashed,Sir Stanley Matthews,Republic of Ireland 3 - 2 Czech Republic,Football legend Stanley Matthews dies at 85,Stanley Matthews dies aged 85,"A horrible, crushing grief swamped the room",'I was a prodigy - the thing I've got is like Mozart',Paddington crash inquest adjourned,Straw tells police to get on with eradicating racism,Women take lead in Welsh cabinet posts,"Voters rate devolution a failure, says survey",Xenophobic? The PFA deserves to be heard,Party comes to an end for Royal Bank,Savills' site targets home loan seekers,Endeavour back on Earth with 'crown jewel' radar images
2000-02-24,0,Eager Keane bounces Czechs,Healy's debut double gives McIlroy perfect start,Robinson strikes as Wales dig deep for victory,'A humble man who never got carried away',The Matthews story,Heskey hoists England standard,"Short but sweet, the Wiseacres are proved wrong as Dennis leaves menace behind",Leicester on Reds alert over Heskey,Marseille keeper Porato fails light-bulb test,The song remains a shame: why I'm quitting Wisden,Door opens for Thorpe and Hick,"The Wizard of Dribble and ever the gentil, parfait knight",Police race failures exposed,Michael Colvin MP and wife feared dead after blaze guts mansion,"The Day Britain Died, by Andrew Marr and After Britain: New Labour and the Return of Scotland, by Tom Nairn",Rams to trample Black Cats,Dark side of the web,Channel 5 swoop for �40m soap,How much can you pay for . . .,Cybershopping:  Only available online,Where did our cheap jeans go?,"Late legend, Late flight and Latent insult","300,000 homeless in Mozambique",Mystery of the pink punter,Eyes wide open
2000-02-25,0,A human reminder to the monster,Pakistan set off on perilous pursuit of Boycott,South Africa seize initiative,Solano aggravated and fined,Call of the ward may leave Elliott out in the cold,Sir Stan Flowers before his feet,Wembley plan may go down the tube,The Love Hexagon by William Sutcliffe,South African stories,Double exposure,Most wanted: Bottega Veneta,Universities hit by research brain drain,South African stories,Scient joins the European crowd,"Justify My Love, Secret and Holiday","Nothing ventured, nothing gained",Bright on!,Most everywhere:  coloured tights,The Italian job,The Insider,Mozambique takes stock as storm brews,Guyana,Patter of tiny feet for Kate Winslet,'There is life in the 100-year-old dog yet',Houses selling in record time
2000-02-28,0,Brady in court for right to end life,Hindley 'tried to join police' after first killing,Customs faces arms-to-Iraq shame in court,Relief for battered CDU in local poll,Autumn bill planned to curb arms trade,Meet Victoria Harwood,"If your newsroom plans don't include multi-media, you may as well go ahead and take an axe to them",Sharif defence lawyers quit over threat of reporting ban,History points the way to another crash landing,Dethroning the market,Labour's two parties,Liberals led the way,In support of the indefensible,Commission will take Coops into the 21st century,We still want mayors,No Mars bar on debate,Paper tiger,Nudge the judge,Bonnie King... Arthur?,Case of the week:  The 'shiner',Brief encounters,The gloves come off,Albanian gunmen stir trouble in Serbia,Jospin's comments in Middle East drive wedge between PM and president,Big boys don't cry
